iter	Passed	Remaining
455	894	1066
456	895	1063
457	898	1062
458	900	1060
459	901	1058
460	902	1055
461	905	1055
462	908	1053
463	909	1050
464	910	1048
465	913	1046
466	914	1044
467	916	1041
468	918	1039
469	919	1037
470	921	1034
471	922	1032
472	923	1029
473	924	1026
474	925	1023
475	928	1021
476	930	1020
477	931	1017
478	932	1014
479	933	1011
480	935	1009
481	936	1006
482	937	1003
483	938	1000
484	939	997
485	940	995
486	945	996
487	947	994
488	948	991
489	949	988
490	950	985
491	952	982
492	953	980
493	954	977
494	955	974
495	956	972
496	961	973
497	963	971
498	969	973
499	971	971
500	981	977
501	995	987
502	998	986
503	1003	987
504	1010	990
505	1013	989
506	1016	988
507	1019	987
508	1021	985
509	1026	985
510	1028	984
511	1030	981
512	1038	985
513	1042	985
514	1043	982
515	1048	983
516	1050	981
517	1053	980
518	1055	977
519	1056	975
520	1057	972
521	1059	969
522	1060	967
523	1063	965
524	1065	963
525	1068	962
526	1070	960
527	1072	958
528	1073	955
529	1078	956
530	1079	953
531	1080	950
532	1084	949
533	1086	947
534	1087	945
535	1094	947
536	1095	944
537	1097	942
538	1099	940
539	1101	938
540	1102	935
541	1103	932
542	1107	932
543	1108	929
544	1110	927
545	1115	927
546	1117	925
547	1119	923
548	1130	929
549	1132	926
550	1133	924
551	1135	921
552	1139	921
553	1142	920
554	1148	920
555	1149	918
556	1151	915
557	1155	915
558	1156	912
559	1157	909
560	1159	907
561	1162	906
562	1163	903
563	1165	900
564	1166	898
565	1168	896
566	1170	893
567	1176	894
568	1177	892
569	1178	889
570	1182	888
571	1184	886
572	1185	883
573	1186	880
574	1188	878
575	1189	875
576	1190	873
577	1191	870
578	1192	867
579	1193	864
580	1197	863
581	1198	860
582	1199	858
583	1200	855
584	1202	853
585	1204	850
586	1205	848
587	1206	845
588	1207	842
589	1208	839
590	1208	836
591	1212	835
592	1214	833
593	1215	830
594	1216	827
595	1218	825
596	1219	823
597	1220	820
598	1221	817
599	1222	814
600	1223	812
601	1227	811
602	1228	808
603	1229	806
604	1231	804
605	1233	802
606	1234	799
607	1235	796
608	1236	793
609	1237	791
610	1238	788
611	1239	785
612	1242	784
613	1243	781
614	1245	779
615	1247	777
616	1250	776
617	1252	774
618	1253	771
619	1254	768
620	1256	767
621	1258	764
622	1259	761
623	1260	759
624	1261	756
625	1263	754
626	1264	752
627	1265	749
628	1266	746
629	1266	744
630	1267	741
631	1268	738
632	1269	736
633	1272	734
634	1273	732
635	1274	729
636	1275	726
637	1276	724
638	1277	721
639	1277	718
640	1278	716
641	1279	713
642	1280	710
643	1281	708
644	1282	705
645	1283	703
646	1284	700
647	1286	698
648	1287	696
649	1289	694
650	1290	691
651	1291	689
652	1292	686
653	1293	684
654	1294	681
655	1295	679
656	1296	676
657	1297	674
658	1298	671
659	1299	669
660	1300	666
661	1303	665
662	1304	663
663	1305	660
664	1306	658
665	1307	655
666	1308	653
667	1308	650
668	1309	648
669	1310	645
670	1311	643
671	1312	640
672	1313	638
673	1314	635
674	1317	634
675	1319	632
676	1320	629
677	1321	627
678	1322	625
679	1324	623
680	1325	620
681	1326	618
682	1327	616
683	1328	613
684	1331	612
685	1333	610
686	1334	607
687	1335	605
688	1337	603
689	1338	601
690	1339	598
691	1340	596
692	1341	594
693	1342	591
694	1343	589
695	1344	587
696	1346	585
697	1347	583
698	1348	580
699	1350	578
700	1351	576
701	1352	574
702	1353	571
703	1354	569
704	1355	567
705	1356	564
706	1357	562
707	1358	560
708	1359	557
709	1362	556
710	1363	554
711	1364	551
712	1365	549
713	1366	547
714	1368	545
715	1369	543
716	1370	540
717	1371	538
718	1372	536
719	1373	534
720	1374	531
721	1375	529
722	1377	527
723	1379	525
724	1380	523
725	1381	521
726	1382	519
727	1383	516
728	1383	514
729	1384	512
730	1386	510
731	1387	508
732	1388	505
733	1389	503
734	1392	501
735	1393	499
736	1394	497
737	1395	495
738	1396	493
739	1397	490
740	1398	488
741	1399	486
742	1400	484
743	1400	482
744	1401	479
745	1402	477
746	1403	475
747	1407	474
748	1410	472
749	1412	470
750	1413	468
751	1414	466
752	1415	464
753	1416	462
754	1417	459
755	1418	457
756	1421	456
757	1424	454
758	1426	452
759	1429	451
760	1431	449
761	1432	447
762	1433	445
763	1438	444
764	1440	442
765	1442	440
766	1447	439
767	1449	437
768	1451	435
769	1452	434
770	1456	432
771	1457	430
772	1459	428
773	1460	426
774	1461	424
775	1464	422
776	1465	420
777	1468	418
778	1472	417
779	1473	415
780	1474	413
781	1474	411
782	1479	409
783	1480	407
784	1481	405
785	1483	403
786	1485	402
787	1486	399
788	1487	397
789	1488	395
790	1489	393
791	1490	391
792	1493	389
793	1495	387
794	1496	385
795	1498	383
796	1500	382
797	1501	380
798	1502	377
799	1503	375
800	1504	373
801	1505	371
802	1509	370
803	1510	368
804	1511	366
805	1514	364
806	1516	362
807	1517	360
808	1518	358
809	1519	356
810	1520	354
811	1523	352
812	1524	350
813	1525	348
814	1527	346
815	1529	344
816	1530	342
817	1531	340
818	1532	338
819	1533	336
820	1534	334
821	1535	332
822	1539	330
823	1540	328
824	1541	326
825	1542	324
826	1543	322
827	1545	321
828	1546	318
829	1547	316
830	1548	314
831	1548	312
832	1549	310
833	1550	308
834	1554	307
835	1555	305
836	1556	303
837	1558	301
838	1560	299
839	1561	297
840	1562	295
841	1562	293
842	1563	291
843	1564	289
844	1565	287
845	1568	285
846	1570	283
847	1572	281
848	1574	279
849	1575	277
850	1576	275
851	1577	273
852	1577	271
853	1578	269
854	1579	267
855	1580	265
856	1584	264
857	1586	262
858	1587	260
859	1589	258
860	1590	256
861	1591	254
862	1592	252
863	1593	250
864	1593	248
865	1594	246
866	1595	244
867	1599	243
868	1600	241
869	1601	239
870	1606	237
871	1607	235
872	1608	234
873	1610	232
874	1610	230
875	1614	228
876	1615	226
877	1617	224
878	1619	222
879	1621	221
880	1622	219
881	1623	217
882	1624	215
883	1625	213
884	1626	211
885	1629	209
886	1630	207
887	1632	205
888	1634	204
889	1636	202
890	1637	200
891	1638	198
892	1639	196
893	1640	194
894	1641	192
895	1644	190
896	1645	188
897	1646	187
898	1647	185
899	1650	183
900	1651	181
901	1652	179
902	1653	177
903	1654	175
904	1655	173
905	1656	171
906	1656	169
907	1661	168
908	1662	166
909	1663	164
910	1665	162
911	1666	160
912	1667	158
913	1668	157
914	1669	155
915	1670	153
916	1671	151
917	1675	149
918	1676	147
919	1677	145
920	1678	143
921	1681	142
922	1682	140
923	1683	138
924	1684	136
925	1685	134
926	1686	132
927	1688	131
928	1690	129
929	1691	127
930	1692	125
931	1694	123
932	1696	121
933	1697	119
934	1698	118
935	1699	116
936	1700	114
937	1701	112
938	1704	110
939	1706	108
940	1708	107
941	1709	105
942	1711	103
943	1712	101
944	1712	99
945	1713	97
946	1714	95
947	1715	94
948	1716	92
949	1720	90
950	1721	88
951	1722	86
952	1725	85
953	1726	83
954	1727	81
955	1727	79
956	1728	77
957	1729	75
958	1730	73
959	1731	72
960	1733	70
961	1735	68
962	1736	66
963	1739	64
964	1740	63
965	1741	61
966	1742	59
967	1743	57
968	1744	55
969	1745	53
970	1745	52
971	1748	50
972	1749	48
973	1750	46
974	1752	44
975	1753	43
976	1754	41
977	1755	39
978	1755	37
979	1756	35
980	1757	34
981	1758	32
982	1759	30
983	1760	28
984	1761	26
985	1764	25
986	1765	23
987	1766	21
988	1766	19
989	1767	17
990	1768	16
991	1769	14
992	1770	12
993	1771	10
994	1772	8
995	1773	7
996	1774	5
997	1774	3
998	1775	1
999	1779	0
